,Aircraft,Type Of Traveller,Seat Type,Route,Departure,Destination,Date Flown,Seat Comfort,Cabin Staff Service,Food & Beverages,Inflight Entertainment,Ground Service,Wifi & Connectivity,Value For Money,Recommended
157,A380-800,Couple Leisure,Business Class,Johannesburg to London,johannesburg,london,Jan-20,3,4,3,3,3,,3,TRUE
160,Boeing 787-9,Business,Business Class,Phoenix to London,phoenix,london,Jan-20,3,5,4,4,3,,5,TRUE
162,Boeing 777-300,Solo Leisure,First Class,Hong Kong to London,hong kong,london,Jan-20,4,5,5,4,4,,4,TRUE
163,A321neo,Solo Leisure,Economy Class,Warsaw to London,warsaw,london,Jan-20,5,5,5,,4,,5,TRUE
164,Boeing 747-400,Family Leisure,Economy Class,New York  to London Heathrow,new york,london,Jan-20,4,5,3,4,5,,4,TRUE
170,A320,Couple Leisure,Business Class,Keflavik to London Heathrow,keflavik,london,Jan-20,3,5,5,,4,,5,TRUE
172,Boeing 747,Family Leisure,Business Class,Los Angeles to London Heathrow,los angeles,london,Jan-20,1,3,2,2,1,1,1,FALSE
173,A320,Solo Leisure,Economy Class,Istanbul to London,istanbul,london,Jan-20,2,2,,,1,,1,FALSE
169,A320,Business,Business Class,Gatwick to Tirana,london,tirana,Jan-20,1,3,2,1,4,5,2,TRUE
175,A321neo,Family Leisure,Economy Class,London to Athens,london,athens,Dec-19,3,1,1,,3,,4,FALSE
180,A319,Couple Leisure,Economy Class,Heathrow to Belfast,london,belfast,Dec-19,2,5,5,,1,,3,FALSE
188,Boeing 777-200,Solo Leisure,Business Class,Gatwick to Bridgetown,london,bridgetown,Dec-19,3,2,3,3,3,,2,FALSE
171,A380,Couple Leisure,Business Class,London to Hong Kong,london,hong kong,Dec-19,3,4,3,4,1,,3,FALSE
168,Boeing 787-8,Solo Leisure,Business Class,Rio De Janeiro to London Heathrow,rio de janeiro,london,Dec-19,5,5,5,,4,,5,TRUE
178,Boeing 777 - 200,Business,Economy Class,New York to London,new york,london,Dec-19,2,2,1,1,5,,5,FALSE
184,A380,Couple Leisure,Business Class,Johannesburg to London,johannesburg,london,Dec-19,3,3,3,3,3,,4,TRUE
177,A320,Solo Leisure,Economy Class,London to Munich,london,munich,Dec-19,2,1,,,1,,1,FALSE
174,Boeing 787-9,Solo Leisure,Business Class,London to Rio De Janeiro,london,rio de janeiro,Dec-19,5,5,5,5,4,2,5,TRUE
179,Boeing 747-400,Business,Business Class,London to San Francisco ,london,san francisco,Dec-19,3,5,4,4,5,5,4,TRUE
196,Boeing 777,Solo Leisure,Economy Class,London to Boston,london,boston,Nov-19,4,4,4,4,4,1,3,TRUE
136,Embraer 195,Business,Economy Class,London City to Edinburgh,london,edinburgh,Nov-19,3,4,,,5,,3,TRUE
189,A380,Couple Leisure,Business Class,London to Johannesburg ,london,johannesburg,Nov-19,3,3,3,3,3,,3,TRUE
195,A320,Couple Leisure,Business Class,London Heathrow to Lisbon,london,lisbon,Nov-19,4,1,2,,5,,2,FALSE
183,A380,Family Leisure,Economy Class,Johannesburg to London,johannesburg,london,Nov-19,1,3,3,3,2,,1,FALSE
186,A319,Solo Leisure,Business Class,Stockholm to London Heathrow,stockholm,london,Nov-19,3,5,5,,5,,4,TRUE
191,A380,Couple Leisure,Economy Class,San Francisco to London,san francisco,london,Nov-19,4,2,3,2,3,,3,FALSE
197,A320,Business,Economy Class,Tirana to London ,tirana,london,Nov-19,4,5,3,5,5,5,5,TRUE
190,Boeing 787-9,Family Leisure,Economy Class,doha to londonDoha to London,doha,london,Nov-19,5,5,4,4,5,,5,TRUE
193,Boeing 777,Family Leisure,Economy Class,London to Mauritius,london,mauritius,Nov-19,1,4,1,1,1,1,2,FALSE
185,Boeing 747-400,Solo Leisure,First Class,London Heathrow to Miami,london,miami,Nov-19,4,5,5,5,5,1,5,TRUE
187,Boeing 747-400,Couple Leisure,Business Class,London to New York JFK,london,new york,Nov-19,1,4,3,1,1,,1,FALSE
192,Boeing 777-300,Business,Business Class,Sydney to Singapore,sydney,singapore,Nov-19,1,1,1,1,2,1,1,FALSE
198,Boeing 747-400,Solo Leisure,Economy Class,Gatwick to St Lucia,london,st lucia,Nov-19,5,5,5,5,5,,5,TRUE
182,A319,Solo Leisure,Business Class,London Heathrow to Stockholm,london,stockholm,Nov-19,3,5,5,,5,,4,TRUE
194,Boeing 747-400,Solo Leisure,Economy Class,London to Vancouver,london,vancouver,Nov-19,2,2,2,1,2,,3,FALSE
219,Boeing 787-900,Couple Leisure,Economy Class,London Heathrow to Abu Dhabi,london,abu dhabi,Oct-19,5,5,5,4,5,3,4,TRUE
214,A320,Business,Economy Class,London to Athens,london,athens,Oct-19,3,2,,,4,,2,FALSE
221,A320,Business,Economy Class,London to Athens,london,athens,Oct-19,1,3,,,1,,1,FALSE
204,Boeing 777-200,Family Leisure,Economy Class,Gatwick to Barbados,london,barbados,Oct-19,4,4,4,5,5,5,5,TRUE
201,A320,Couple Leisure,Economy Class,London to Belfast,london,belfast,Oct-19,3,2,,,1,,2,FALSE
207,A319,Solo Leisure,Business Class,London to Belfast,london,belfast,Oct-19,5,5,5,,5,,5,TRUE
203,A321neo,Solo Leisure,Economy Class,London Heathrow to Edinburgh,london,edinburgh,Oct-19,1,3,1,,3,,3,TRUE
176,A321neo,Solo Leisure,Business Class,Sofia to London,sofia,london,Oct-19,3,4,4,,3,,4,TRUE
200,Boeing 787-9,Couple Leisure,Business Class,Seychelles to London,seychelles,london,Oct-19,5,5,5,5,4,,5,TRUE
202,Boeing 787,Couple Leisure,Business Class,San Jose to London,san jose,london,Oct-19,2,4,4,1,3,,2,FALSE
205,Boeing 777,Couple Leisure,Economy Class,Toronto to London,toronto,london,Oct-19,3,5,5,5,5,,5,TRUE
206,A380,Couple Leisure,Business Class,San Francisco to London,san francisco,london,Oct-19,5,5,5,4,5,,4,TRUE
208,Boeing 747-400,Business,Business Class,Vancouver to London,vancouver,london,Oct-19,4,1,1,4,3,,2,FALSE
210,A320,Business,Economy Class,Brussels to London,brussels,london,Oct-19,4,4,,,1,,2,FALSE
215,Boeing 777,Couple Leisure,Economy Class,New York JFK to London,new york,london,Oct-19,1,2,1,1,1,,1,FALSE
223,Boeing 787-9,Family Leisure,Economy Class,Kuala Lumpur to London,kuala lumpur,london,Oct-19,5,5,5,5,5,,5,TRUE
224,Boeing 747,Couple Leisure,Business Class,Austin to London,austin,london,Oct-19,3,3,3,,3,,4,TRUE
209,A320,Solo Leisure,Economy Class,London to Malaga,london,malaga,Oct-19,1,1,,,1,,1,FALSE
222,A320,Solo Leisure,Economy Class,London Heathrow to Newcastle,london,newcastle,Oct-19,4,4,,,5,,4,TRUE
212,Boeing 787-900,Couple Leisure,Business Class,London Heathrow to Seychelles,london,seychelles,Oct-19,5,5,5,5,5,,5,TRUE
181,A380,Solo Leisure,Business Class,London to Singapore,london,singapore,Oct-19,4,5,5,1,5,1,5,TRUE
211,Boeing 777,Couple Leisure,Premium Economy,London to Singapore,london,singapore,Oct-19,1,1,1,,3,,1,FALSE
154,A321,Solo Leisure,Business Class,London Heathrow to Sofia,london,sofia,Oct-19,4,4,4,,5,2,4,TRUE
234,Boeing 777-200,Business,Economy Class,London Heathrow to Abuja Nigeria,london,abuja,Sep-19,3,4,1,1,1,,2,FALSE
226,A320,Business,Business Class,Gatwick to Alicante,london,alicante,Sep-19,5,5,5,5,2,,5,TRUE
228,Boeing 747,Couple Leisure,Business Class,London Heathrow to Austin,london,austin,Sep-19,4,5,4,2,3,,5,TRUE
229,Boeing 747,Couple Leisure,Business Class,London Heathrow to Austin,london,austin,Sep-19,4,4,4,1,4,,4,TRUE
235,Boeing 777-300,Solo Leisure,Economy Class,London to Bangkok,london,bangkok,Sep-19,2,3,4,1,4,,3,FALSE
231,A321,Solo Leisure,Economy Class,London Heathrow to Berlin Tegel,london,berlin,Sep-19,5,5,3,,3,,5,TRUE
