,Aircraft,Type Of Traveller,Seat Type,Route,Departure,Destination,Date Flown,Seat Comfort,Cabin Staff Service,Food & Beverages,Inflight Entertainment,Ground Service,Wifi & Connectivity,Value For Money,Recommended
342,A380,Couple Leisure,Business Class,London to Johannesburg ,london,johannesburg,Jan-19,3,4,4,3,3,,3,TRUE
343,A380,Family Leisure,Business Class,London to Johannesburg,london,johannesburg,Jan-19,4,5,4,5,4,4,4,TRUE
361,A380,Couple Leisure,Economy Class,London to Johannesburg,london,johannesburg,Jan-19,5,5,5,5,5,,5,TRUE
335,Boeing 787-9,Couple Leisure,Business Class,Tokyo Narita to London Heathrow,tokyo,london,Jan-19,4,3,5,5,5,,4,TRUE
337,A320,Couple Leisure,Economy Class,Edinburgh to London Gatwick,edinburgh,london,Jan-19,3,4,,,5,,4,TRUE
341,A380,Couple Leisure,First Class,Johannesburg to London ,johannesburg,london,Jan-19,4,3,3,3,3,3,3,TRUE
347,A380,Solo Leisure,Premium Economy,Miami to London,miami,london,Jan-19,3,4,1,3,3,3,3,FALSE
349,Boeing 787,Solo Leisure,Economy Class,Bucharest to London Heathrow to Los Angeles,bucharest,london,Jan-19,1,5,2,1,5,1,1,FALSE
353,Boeing 777-200,Business,Premium Economy,Bangalore to London,bangalore,london,Jan-19,2,2,2,1,2,,1,FALSE
354,777,Couple Leisure,Economy Class,San Francisco to London,san francisco,london,Jan-19,1,1,1,1,1,,1,FALSE
350,Boeing 747,Business,Business Class,London to Miami,london,miami,Jan-19,1,2,1,1,3,,1,FALSE
336,Boeing 777,Couple Leisure,First Class,London to Tokyo Haneda,london,tokyo,Jan-19,5,5,5,5,5,,4,TRUE
333,A320,Couple Leisure,Economy Class,London to Athens,london,athens,Dec-18,3,5,1,1,1,1,2,FALSE
360,Airbus A320,Couple Leisure,Economy Class,London to Athens,london,athens,Dec-18,4,1,,,2,,4,FALSE
368,Boeing 777-200,Couple Leisure,First Class,Gatwick to Barbados,london,barbados,Dec-18,2,5,2,2,3,,3,FALSE
373,Boeing 777,Couple Leisure,First Class,Gatwick to Barbados,london,barbados,Dec-18,2,2,2,1,1,,1,FALSE
358,Boeing 777-200,Couple Leisure,Economy Class,London to Boston,london,boston,Dec-18,1,5,4,4,4,,4,TRUE
298,Boeing 787,Solo Leisure,Business Class,London to Calgary,london,calgary,Dec-18,5,5,5,5,1,,5,TRUE
370,Boeing 777,Couple Leisure,Business Class,Bridgetown to Gatwick,bridgetown,london,Dec-18,1,1,2,,2,,1,FALSE
372,Boeing 777,Business,Business Class,Antigua to Gatwick,antigua,london,Dec-18,2,1,1,,3,,2,FALSE
327,A380,Business,Business Class,London to Johannesburg,london,johannesburg,Dec-18,2,1,1,3,4,,1,FALSE
366,Boeing 787,Solo Leisure,Economy Class,London to Kuala Lumpur,london,kuala lumpur,Dec-18,1,4,3,1,5,,1,FALSE
359,Boeing 747-400,Couple Leisure,Economy Class,Boston to London,boston,london,Dec-18,2,3,5,5,4,,4,TRUE
363,A319,Solo Leisure,Economy Class,Leeds Bradford to London Heathrow,leeds,london,Dec-18,3,5,,,5,,4,TRUE
367,Boeing 747,Solo Leisure,Economy Class,Los Angeles to London Heathrow,los angeles,london,Dec-18,2,2,1,4,1,,2,FALSE
369,Boeing 787-9,Solo Leisure,First Class,Moscow to London,moscow,london,Dec-18,5,5,5,5,5,,5,TRUE
371,A380,Couple Leisure,First Class,Johannesburg to London,johannesburg,london,Dec-18,4,3,3,2,3,,3,FALSE
375,A320,Couple Leisure,Economy Class,Bucharest to London,bucharest,london,Dec-18,1,1,,,1,,1,FALSE
376,Boeing 747-400,Family Leisure,Economy Class,Miami to London,miami,london,Dec-18,1,1,1,1,3,,1,FALSE
362,Boeing 777,Solo Leisure,Economy Class,London to Mumbai,london,mumbai,Dec-18,5,5,5,3,5,,4,TRUE
364,A320,Solo Leisure,Economy Class,Gatwick to Tenerife,london,tenerife,Dec-18,1,3,4,,5,,3,FALSE
384,A320,Family Leisure,Economy Class,London to Budapest,london,budapest,Nov-18,5,1,,,5,,5,FALSE
378,A380,Couple Leisure,First Class,London to Johannesburg,london,johannesburg,Nov-18,5,5,5,4,4,,4,TRUE
365,A380,Couple Leisure,Business Class,Johannesburg to London,johannesburg,london,Nov-18,1,1,1,3,2,,1,FALSE
374,Boeing 747-400,Couple Leisure,Business Class,Cape Town to London,cape town,london,Nov-18,2,1,1,3,3,,1,FALSE
377,Boeing 777,Couple Leisure,Premium Economy,Nassau to London,nassau,london,Nov-18,2,3,1,1,3,,1,FALSE
379,Boeing 747-400,Family Leisure,Economy Class,Vancouver to London Heathrow,vancouver,london,Nov-18,5,5,4,2,5,,4,TRUE
380,A320,Solo Leisure,Business Class,Stockholm to London,stockholm,london,Nov-18,3,5,2,,1,,3,TRUE
381,Boeing 777-200,Couple Leisure,Economy Class,Buenos Aires to London,buenos aires,london,Nov-18,1,2,1,1,1,,1,FALSE
382,Boeing 777,Business,Business Class,Riyadh to London,riyadh,london,Nov-18,1,2,2,3,3,,1,FALSE
383,A319,Solo Leisure,Economy Class,Aberdeen to London,aberdeen,london,Nov-18,2.961603613777527,3.411067193675889,,,1,,1,FALSE
338,A320,Family Leisure,Economy Class,London Heathrow to Paris CDG,london,paris,Nov-18,3,4,4,2,4,1,4,TRUE
308,Boeing 787-9,Couple Leisure,First Class,London to Tokyo Narita,london,tokyo,Nov-18,5,5,5,5,5,,5,TRUE
385,A321,Solo Leisure,Economy Class,London to Athens,london,athens,Oct-18,4,3,2,2,3,1,3,TRUE
386,Boeing 777-200,Solo Leisure,Business Class,London to Bangkok,london,bangkok,Oct-18,3,3,2,1,3,1,2,FALSE
393,Boeing 747-400,Couple Leisure,Economy Class,London to Cape Town,london,cape town,Oct-18,2,1,2,,1,,1,FALSE
357,A319,Business,Economy Class,Stuttgart to London,stuttgart,london,Oct-18,1,1,,,1,,1,FALSE
387,A340-300,Solo Leisure,Economy Class,Abu Dhabi to London,abu dhabi,london,Oct-18,2,1,1,1,3,1,3,FALSE
389,A320,Solo Leisure,Economy Class,St Petersburg to London,petersburg,london,Oct-18,5,5,3,,5,,3,TRUE
391,Boeing 777-200,Business,Business Class,Madrid to London,madrid,london,Oct-18,4,5,4,,4,,4,TRUE
394,A321,Family Leisure,Economy Class,Munich to London Heathrow,munich,london,Oct-18,2,4,,,5,,3,TRUE
395,Boieng 777-200,Business,Economy Class,Bangkok to London,bangkok,london,Oct-18,3,2,2,3,1,,2,FALSE
398,A380,Business,Business Class,Johannesburg to London,johannesburg,london,Oct-18,2,2,1,1,4,,2,FALSE
392,A321,Family Leisure,Economy Class,London to Munich,london,munich,Oct-18,2,3,,,3,,3,TRUE
388,Boeing 777,Business,Business Class,Gatwick to Orlando,london,orlando,Oct-18,1,2,3,1,2,1,1,FALSE
390,Boeing 787-9,Business,Business Class,London to Philadelphia,london,philadelphia,Oct-18,1,1,2,3,2,,1,FALSE
396,Boeing 777,Solo Leisure,Economy Class,London to Toronto,london,toronto,Oct-18,1,3,3,2,2,,1,FALSE
355,Boeing 747,Solo Leisure,Economy Class,Heathrow to Vancouver,london,vancouver,Oct-18,4,4,3,2,4,,1,FALSE
397,A320,Business,Economy Class,London to Vienna,london,vienna,Oct-18,2,3,,,2,,2,FALSE
413,A321,Couple Leisure,Business Class,London Heathrow to Brindisi,london,brindisi,Sep-18,2,3,2,,2,,3,FALSE
410,Boeing 777-200,Couple Leisure,First Class,London Heathrow to Dubai,london,dubai,Sep-18,4,5,5,3,4,2,4,TRUE
411,A320,Couple Leisure,Economy Class,Heraklion to Gatwick,heraklion,london,Sep-18,2,2,,,1,,1,FALSE
334,Boeing 787,Couple Leisure,Premium Economy,New Orleans to London,new orleans,london,Sep-18,5,4,5,5,4,,5,TRUE
399,Boeing 777-300ER,Solo Leisure,Business Class,Singapore to London Heathrow,singapore,london,Sep-18,4,5,3,2,3,,3,TRUE
401,Boeing 747,Solo Leisure,Premium Economy,Miami to London Heathrow,miami,london,Sep-18,1,5,3,2,1,,2,FALSE
405,"Boeing 787-9, A380",Business,Premium Economy,Kuala Lumpur to London Heathrow,kuala lumpur,london,Sep-18,3,4,3,3,5,,4,TRUE
406,A320,Couple Leisure,Business Class,Brindisi to London,brindisi,london,Sep-18,1,2,2,,1,,2,FALSE
407,A380,Couple Leisure,Premium Economy,Chicago to London,chicago,london,Sep-18,1,1,1,1,3,,1,FALSE
412,Boeing 767,Solo Leisure,Business Class,Madrid to London Heathrow,madrid,london,Sep-18,3,5,5,,5,,5,TRUE
416,A320,Solo Leisure,Economy Class,Budapest to London Heathrow,budapest,london,Sep-18,4,4,,,5,,4,TRUE
266,A320,Solo Leisure,Economy Class,Heathrow to Marseille,london,marseille,Sep-18,1,1,1,1,1,1,1,FALSE
409,Boeing 747-400,Business,Business Class,London Heathrow to New York JFK,london,new york,Sep-18,3,4,2,3,1,5,3,FALSE
404,A321,Family Leisure,Business Class,London to Pisa,london,pisa,Sep-18,1,4,4,,4,,1,FALSE
403,A380,Solo Leisure,Economy Class,London to Singapore,london,singapore,Sep-18,5,5,5,4,4,,5,TRUE
419,A320,Couple Leisure,Business Class,London to Athens,london,athens,Aug-18,1,3,2,1,2,1,3,FALSE
415,Airbus A32,Solo Leisure,Economy Class,London Heathrow to Budapest,london,budapest,Aug-18,5,5,,,4,,4,TRUE
418,A318,Solo Leisure,Economy Class,London Heathrow to DÃ¼sseldorf,london,dusseldorf,Aug-18,5,4,,,5,,4,TRUE
417,A380,Solo Leisure,Economy Class,London Heathrow to Hong Kong,london,hong kong,Aug-18,5,5,3,5,4,,3,TRUE
340,Boeing 777,Family Leisure,Economy Class,New York JFK to London Heathrow,new york,london,Aug-18,3,4,3,2,3,1,3,TRUE
408,Boeing 777,Solo Leisure,Premium Economy,Riyadh to London ,riyadh,london,Aug-18,5,5,5,4,3,,5,TRUE
421,Boeing 787,Couple Leisure,Premium Economy,Philadelphia to London,philadelphia,london,Aug-18,3,1,1,3,4,,3,FALSE
423,Boeing 777,Solo Leisure,Premium Economy,Toronto to London,toronto,london,Aug-18,3,5,2,2,4,,3,TRUE
427,Boeing 777,Solo Leisure,First Class,New York JFK to London,new york,london,Aug-18,4,5,3,,5,,4,FALSE
400,Boeing 747-400,Couple Leisure,Business Class,London to Los Angeles,london,los angeles,Aug-18,1,1,1,1,3,1,3,FALSE
402,Boeing 747-400,Family Leisure,Economy Class,London Heathrow to Miami,london,miami,Aug-18,5,5,5,4,4,,5,TRUE
434,A321,Solo Leisure,Business Class,London to Amsterdam,london,amsterdam,Jul-18,3,4,3,,1,,1,FALSE
438,A320,Solo Leisure,Business Class,Gatwick to Faro,london,faro,Jul-18,3,4,3,,5,,4,TRUE
428,A320,Couple Leisure,Business Class,Paphos to Gatwick,paphos,london,Jul-18,3,5,3,,1,,3,FALSE
435,A319,Couple Leisure,Economy Class,Seville to Gatwick,seville,london,Jul-18,2,1,1,,1,,3,FALSE
437,A320,Solo Leisure,Business Class,Faro to Gatwick,faro,london,Jul-18,3,2,4,,3,,4,TRUE
422,Boeing 747-400,Family Leisure,Economy Class,London to Las Vegas,london,las vegas,Jul-18,1,1,1,1,1,,1,FALSE
424,A380,Couple Leisure,Business Class,San Francisco to London Heathrow,san francisco,london,Jul-18,4,5,4,1,4,,4,FALSE
442,A320,Solo Leisure,Economy Class,Munich to London Heathrow,munich,london,Jul-18,4,4,2,,5,,3,TRUE
445,A321,Couple Leisure,Economy Class,Pisa to London Heathrow,pisa,london,Jul-18,1,3,,,3,,2,FALSE
414,A320,Business,Economy Class,London to Madrid,london,madrid,Jul-18,2,3,1,,2,,2,FALSE
439,A321,Solo Leisure,Business Class,Gatwick to Malaga,london,malaga,Jul-18,4,5,5,,3,,5,TRUE
433,A320,Couple Leisure,Economy Class,London to Murcia ,london,murcia,Jul-18,5,5,5,,3,,5,TRUE
429,A320,Couple Leisure,Business Class,Gatwick to Paphos,london,paphos,Jul-18,3,5,4,,4,,4,TRUE
430,Boeing 787-9,Business,Premium Economy,London to Santiago de Chile,london,santiago,Jul-18,4,5,4,4,4,,5,TRUE
431,Boeing 777,Couple Leisure,Business Class,London Heathrow to Seattle Tacoma,london,seattle,Jul-18,4,4,4,2,4,,4,FALSE
420,A380,Family Leisure,First Class,London Heathrow to Singapore,london,singapore,Jul-18,5,5,5,4,5,,5,TRUE
432,A320-200,Family Leisure,Economy Class,London Gatwick to Tirana Rinas,london,tirana,Jul-18,4,4,3,,5,,3,TRUE
456,Boeing 787,Solo Leisure,Economy Class,London Heathrow to Baltimore,london,baltimore,Jun-18,2,3,3,4,4,,4,TRUE
351,Boeing 787 Dreamliner,Business,Premium Economy,London to Calgary,london,calgary,Jun-18,3,3,3,4,4,3,2,TRUE
462,A320,Couple Leisure,Economy Class,Barcelona to Gatwick,barcelona,london,Jun-18,3,1,1,,3,,2,FALSE
449,A320,Couple Leisure,Business Class,Gatwick to Gibraltar,london,gibraltar,Jun-18,5,5,5,,4,,4,TRUE
441,A319,Solo Leisure,Economy Class,London to Hamburg,london,hamburg,Jun-18,4,3,,,5,,3,TRUE
446,Boeing 747,Business,First Class,London Heathrow to Las Vegas,london,las vegas,Jun-18,3,2,2,2,3,2,1,FALSE
352,Boeing 787,Business,Premium Economy,Calgary to London,calgary,london,Jun-18,3,4,3,3,3,3,2,FALSE
426,A320,Couple Leisure,Economy Class,Amsterdam to London,amsterdam,london,Jun-18,3,5,4,,4,,4,TRUE
436,Boeing 777 / A380,Business,Premium Economy,HKG to LHR,hong kong,london,Jun-18,4,5,4,5,5,3,4,TRUE
447,Boeing 747 / 777,Solo Leisure,Premium Economy,Delhi to London,delhi,london,Jun-18,4,4,4,4,4,,4,TRUE
448,Boeing 787(9),Couple Leisure,Business Class,Seychelles to London,seychelles,london,Jun-18,2,3,3,3,1,,1,FALSE
451,Boeing 777,Business,Business Class,Newark to London Heathrow,newark,london,Jun-18,3,1,1,3,4,3,2,FALSE
454,Boeing 787,Couple Leisure,Premium Economy,Calgary to London,calgary,london,Jun-18,1,1,1,2,2,1,2,FALSE
458,Boeing 747-400,Couple Leisure,Business Class,Cape Town to London Heathrow,cape town,london,Jun-18,2,3,2,2,3,,3,FALSE
459,Boeing 777-200 ER,Solo Leisure,Premium Economy,Toronto to London,toronto,london,Jun-18,3,5,4,3,5,,4,TRUE
452,Boeing 747 and Boeing 777,Couple Leisure,Business Class,London Heathrow to Seattle,london,seattle,Jun-18,4,5,5,4,5,,3,TRUE
443,Boeing 777,Business,Business Class,London to Shanghai,london,shanghai,Jun-18,1,5,4,2,2,,3,FALSE
450,A380,Business,First Class,London to Vancouver,london,vancouver,Jun-18,2,4,2,2,2,,4,FALSE
455,Boeing 767,Business,Economy Class,London to Zurich,london,zurich,Jun-18,3,2,1,1,4,1,4,FALSE
465,Boeing 747-400,Couple Leisure,First Class,London to Cape Town,london,cape town,May-18,4,2,4,3,4,,3,TRUE
461,A320,Couple Leisure,Business Class,London Heathrow to Corfu ,london,corfu ,May-18,4,5,5,,4,,5,TRUE
440,Boeing 777-200,Couple Leisure,Business Class,Bermuda to Gatwick,bermuda,london,May-18,4,3,1,4,4,,2,TRUE
464,A320,Solo Leisure,Economy Class,London to Istanbul,london,istanbul,May-18,3,5,1,,2,,1,FALSE
466,A380,Business,Business Class,Los Angeles to London Heathrow,los angeles,london,May-18,1,1,1,1,1,1,1,FALSE
468,Boeing 777-200,Business,First Class,Dubai to London Heathrow,dubai,london,May-18,5,5,5,,5,,5,TRUE
470,Boeing 747 400,Couple Leisure,Premium Economy,Washington to London,washington,london,May-18,1,4,2,1,2,,1,FALSE
471,A380,Business,Economy Class,Singapore to London,singapore,london,May-18,4,2,1,1,3,,4,FALSE
472,A321,Business,Economy Class,Munich to London,munich,london,May-18,3,5,1,,3,,3,FALSE
474,Boeing 747-400,Business,Business Class,Cape Town to London,cape town,london,May-18,3,1,1,1,3,,2,FALSE
476,A320,Business,Business Class,Vienna to London Heathrow,vienna,london,May-18,3,4,2,,3,,3,TRUE
479,A380,Solo Leisure,Economy Class,Chicago to London Heathrow,chicago,london,May-18,4,4,3,3,4,3,3,TRUE
467,A320,Family Leisure,Economy Class,London Heathrow to Mahon,london,mahon,May-18,3,2,,,1,,2,FALSE
478,Boeing 747,Business,Business Class,London to Phoenix ,london,phoenix,May-18,4,3,4,1,4,1,4,TRUE
473,A320,Solo Leisure,Economy Class,London to Reykjavik ,london,reykjavik,May-18,4,4,2,,4,,4,TRUE
469,A380,Solo Leisure,Economy Class,London Heathrow to Singapore,london,singapore,May-18,4,3,4,3,4,,4,TRUE
477,A320,Solo Leisure,Economy Class,London Heathrow to Vienna,london,vienna,May-18,1,1,1,2,1,,1,FALSE
463,A320,Solo Leisure,Economy Class,London to Warsaw,london,warsaw,May-18,2,2,,,3,,3,FALSE
475,Boeing 747,Solo Leisure,First Class,London to Washington,london,washington,May-18,3,2,2,1,4,,1,FALSE
497,Boeing 787-9,Family Leisure,Premium Economy,London Heathrow to Cairo ,london,cairo,Apr-18,4,5,5,5,5,,5,TRUE
460,Boeing 747-400,Couple Leisure,Economy Class,London to Chicago,london,chicago,Apr-18,5,5,4,4,4,,5,TRUE
492,A320,Business,Business Class,London to Copenhagen ,london,copenhagen,Apr-18,2,3,1,,3,,2,FALSE
491,Boeing 747-400,Solo Leisure,Economy Class,London Heathrow to Dallas,london,dallas,Apr-18,3,3,3,2,3,,2,FALSE
453,Boeing 747,Solo Leisure,Economy Class,London to Johannesburg,london,johannesburg,Apr-18,1,1,1,1,4,1,2,FALSE
480,Boeing 777,Couple Leisure,Business Class,Hong Kong to London,hong kong,london,Apr-18,2,5,3,3,4,,4,FALSE
481,A380,Solo Leisure,Business Class,Los Angeles to London Heathrow,los angeles,london,Apr-18,4,5,4,5,5,,5,TRUE
482,Boeing 787-8,Family Leisure,Business Class,GIG to LHR,rio de janeiro,london,Apr-18,4,3,3,4,4,3,3,TRUE
484,Boeing 767,Business,Business Class,Madrid to London,madrid,london,Apr-18,4,5,4,,4,,3,TRUE
486,Boeing 777,Couple Leisure,Business Class,Tampa to London Gatwick,tampa,london,Apr-18,1,1,1,1,1,1,1,FALSE
488,A320,Business,Business Class,Madrid to London,madrid,london,Apr-18,2,5,1,,1,,1,FALSE
493,A380,Family Leisure,Premium Economy,Los Angeles to London,los angeles,london,Apr-18,1,1,2,3,1,1,1,FALSE
494,Boeing 777-300,Family Leisure,Premium Economy,SÃ£o Paulo to London Heathrow,sÃ£o paulo,london,Apr-18,2,1,2,3,2,,2,FALSE
496,Boeing 777,Family Leisure,Economy Class,London Heathrow to New York JFK,london,new york,Apr-18,1,5,2,2,1,,3,FALSE
485,Boeing 777-300,Family Leisure,Business Class,London to Sao Paulo,london,sao paulo,Apr-18,4,4,4,5,5,4,4,TRUE
483,Boeing 747,Solo Leisure,Premium Economy,London Heathrow to Vancouver,london,vancouver,Apr-18,1,1,1,2,4,,2,FALSE
504,Boeing 777-200,Couple Leisure,Business Class,London Gatwick to Fort Lauderdale ,london,fort lauderdale,Mar-18,3,4,4,3,4,,4,TRUE
498,Boeing 777,Couple Leisure,Business Class,St Lucia to Gatwick,st lucia,london,Mar-18,2,2,2,3,3,,1,FALSE
499,Boeing 777-200,Couple Leisure,Business Class,Fort Lauderdale to Gatwick,fort lauderdale,london,Mar-18,2,3,3,2,3,,3,FALSE
511,A380,Business,Premium Economy,Singapore to Heathrow,singapore,london,Mar-18,1,1,1,1,1,,1,FALSE
501,A320,Business,Economy Class,Heathrow to Keflavik,london,keflavik,Mar-18,3,4,4,,5,,4,TRUE
490,Boeing 747-400,Solo Leisure,Economy Class,Miami to London ,miami,london,Mar-18,4,4,4,4,4,,4,TRUE
495,A320,Couple Leisure,Economy Class,Budapest to London Heathrow,budapest,london,Mar-18,1,1,,,3,,2,FALSE
500,Boeing 747,Family Leisure,Business Class,Dubai to London Heathrow,dubai,london,Mar-18,4,5,4,3,4,,4,TRUE
505,Boeing 777-200,Business,Business Class,Bangkok to London,bangkok,london,Mar-18,1,2,1,,4,,1,FALSE
506,Boeing 777,Couple Leisure,Economy Class,Bangkok to London,bangkok,london,Mar-18,1,2,1,2,1,1,2,FALSE
509,Boeing 747-400,Business,Economy Class,Miami to London,miami,london,Mar-18,2,3,3,1,3,1,2,FALSE
510,A320,Business,Business Class,Warsaw to London,warsaw,london,Mar-18,1,4,5,,4,,4,TRUE
503,A320,Family Leisure,Business Class,Gatwick to Madeira,london,madeira,Mar-18,2,4,3,,2,,1,FALSE
489,A321,Business,Business Class,London to Moscow,london,moscow,Mar-18,1,4,1,,1,,2,FALSE
502,Boeing 787-9,Solo Leisure,First Class,London to Muscat,london,muscat,Mar-18,5,4,4,3,4,,4,TRUE
527,Boeing 777,Solo Leisure,Premium Economy,London to Bengaluru,london,bengaluru,Feb-18,2,1,1,1,2,,1,FALSE
521,Boeing 777,Couple Leisure,Economy Class,London Gatwick to Cape Town,london,cape town,Feb-18,4,3,4,3,4,,3,FALSE
487,A319,Business,Business Class,London Heathrow to Dusseldorf,london,dusseldorf,Feb-18,1,1,1,,1,,1,FALSE
524,Boeing 777,Solo Leisure,Economy Class,Orlando to Gatwick,orlando,london,Feb-18,3,5,1,3,4,,3,FALSE
507,Boeing 777,Solo Leisure,Economy Class,Moscow to Heathrow,moscow,london,Feb-18,2,1,1,3,1,1,3,FALSE
513,A380,Business,Business Class,London to Hong Kong,london,hong kong,Feb-18,3,1,1,3,3,1,1,FALSE
457,A380 and 747,Couple Leisure,Business Class,London to Johannesburg,london,johannesburg,Feb-18,2,3,3,,3,,1,FALSE
514,A380,Solo Leisure,Premium Economy,Miami to London Heathrow,miami,london,Feb-18,5,5,3,5,5,,5,TRUE
516,A319,Couple Leisure,Economy Class,Edimbourgh to London Gatwick,edimbourgh,london,Feb-18,1,3,,,3,,5,FALSE
517,Boeing 747-400,Business,Business Class,Chicago to London Heathrow,chicago,london,Feb-18,1,1,1,1,3,1,1,FALSE
518,Boeing 757,Solo Leisure,Economy Class,Athens to London,athens,london,Feb-18,3,4,,2,4,,5,TRUE
522,A321,Solo Leisure,Business Class,Aberdeen to London Heathrow,aberdeen,london,Feb-18,5,5,5,,4,,5,TRUE
523,A320,Solo Leisure,Business Class,Dusseldorf to London,dusseldorf,london,Feb-18,3,5,5,,4,,4,TRUE
519,Boeing 747,Couple Leisure,Premium Economy,London Heathrow to Miami,london,miami,Feb-18,2,3,2,2,3,,2,FALSE
512,Boeing 787,Solo Leisure,Economy Class,London Heathrow to Toronto,london,toronto,Feb-18,3,4,3,2,4,,4,TRUE
533,Boeing 777-200,Couple Leisure,Business Class,London to Bangkok,london,bangkok,Jan-18,5,5,5,2,5,2,5,TRUE
529,A320,Solo Leisure,Business Class,London Heathrow to Belfast,london,belfast,Jan-18,5,4,4,,4,,4,TRUE
537,E170 / A319,Business,Economy Class,London to DÃ¼sseldorf,london,dusseldorf,Jan-18,3,5,1,,4,,2,FALSE
541,Boeing 777,Business,Business Class,London to Dubai,london,dubai,Jan-18,2,1,1,,3,,1,FALSE
526,A319,Business,Economy Class,London to Duesseldorf,london,duesseldorf,Jan-18,1,1,,,1,,1,FALSE
525,A380,Solo Leisure,Economy Class,London to Johannesburg,london,johannesburg,Jan-18,5,5,3,5,5,,4,TRUE
535,Boeing 787-9,Solo Leisure,Business Class,"San Jose, CA to London Heathrow",san jose,london,Jan-18,4,5,5,4,3,,4,TRUE
538,E190,Couple Leisure,Economy Class,Rotterdam to London City,rotterdam,london,Jan-18,5,5,3,,4,,5,TRUE
539,Boeing 747-400,Solo Leisure,First Class,Chicago to London Heathrow,chicago,london,Jan-18,5,5,5,5,4,,5,TRUE
540,Boeing 777-200,Couple Leisure,First Class,Toronto to London,toronto,london,Jan-18,4,4,4,3,3,,4,FALSE
425,A321,Couple Leisure,Economy Class,London to Paris,london,paris,Jan-18,3,5,5,,4,,3,TRUE
530,Boeing 777,Solo Leisure,Business Class,Gatwick to Tobago,london,tobago,Jan-18,3,3,3,2,2,,3,FALSE
531,A319,Business,Business Class,London Gatwick to Turin,london,turin,Jan-18,1,1,2,,3,,1,FALSE
520,Boeing 777,Solo Leisure,Economy Class,London to Bombay,london,bombay,Dec-17,4,5,4,4,3,,5,TRUE
532,A320,Solo Leisure,Economy Class,London to Dusseldorf,london,dusseldorf,Dec-17,2,4,1,1,1,1,1,FALSE
544,A321,Couple Leisure,Business Class,Dublin to Heathrow,dublin,london,Dec-17,1,1,1,,1,,1,FALSE
547,A380,Solo Leisure,Premium Economy,London to Hong Kong,london,hong kong,Dec-17,4,4,4,4,5,,3,TRUE
548,Boeing 777,Family Leisure,First Class,London to Houston,london,houston,Dec-17,3,3,1,3,1,,1,FALSE
542,A380,Solo Leisure,Economy Class,London to Johannesburg,london,johannesburg,Dec-17,5,5,4,4,4,,4,TRUE
536,Boeing 777,Business,Business Class,Dubai to London,dubai,london,Dec-17,1,1,1,,1,,1,FALSE
543,Boeing 777-300ER,Family Leisure,First Class,Hong Kong to London,hong kong,london,Dec-17,4,5,5,,4,,4,TRUE
546,Boeing 747-400,Family Leisure,Economy Class,New York to London,new york,london,Dec-17,4,4,4,3,3,,3,TRUE
549,Boeing 747-400,Solo Leisure,Economy Class,Dubai to London Heathrow,dubai,london,Dec-17,2,1,2,1,4,,2,FALSE
534,A320,Solo Leisure,Business Class,London Gatwick to Rome Fiumicino,london,rome,Dec-17,5,5,5,5,5,,5,TRUE
565,Boeing 767,Family Leisure,Economy Class,London to Athens,london,athens,Nov-17,3,3,,,1,,2,FALSE
586,A320,Couple Leisure,Economy Class,Heathrow to Barcelona,london,barcelona,Nov-17,2,2,,,3,,2,FALSE
569,A320,Business,Economy Class,London Heathrow to Basel,london,basel,Nov-17,2,1,1,,1,,1,FALSE
562,A320,Business,Business Class,London Heathrow to Belfast,london,belfast,Nov-17,4,5,4,,4,,4,TRUE
558,A319,Solo Leisure,First Class,London to Berlin Tegel,london,berlin,Nov-17,2,2,1,1,4,,2,FALSE
559,Boeing 777-200,Family Leisure,First Class,London Heathrow to Dubai,london,dubai,Nov-17,3,4,2,2,3,,1,FALSE
581,Boeing 767,Business,Business Class,London to Edinburgh,london,edinburgh,Nov-17,1,3,3,,3,,1,FALSE
576,A380,Couple Leisure,Business Class,London Heathrow to Johannesburg,london,johannesburg,Nov-17,4,4,4,3,4,,4,TRUE
556,Boeing 777,Solo Leisure,Premium Economy,Seattle to London,seattle,london,Nov-17,4,4,3,3,4,,4,TRUE
560,Boeing 777-200,Family Leisure,First Class,Dubai to London Heathrow,dubai,london,Nov-17,3,2,2,2,2,,2,FALSE
561,Boeing 777-200,Business,Business Class,Saint Lucia to London Gatwick,saint lucia,london,Nov-17,2,3,2,4,4,3,2,FALSE
566,A320/319,Business,Economy Class,Berlin Tegel to London Heathrow,berlin,london,Nov-17,4,1,,,2,,1,FALSE
570,Boeing 747,Couple Leisure,Economy Class,Miami to London Heathrow,miami,london,Nov-17,1,5,1,1,3,,3,FALSE
571,Boeing 747-400,Couple Leisure,First Class,Cape Town to London,cape town,london,Nov-17,4,5,5,3,4,,4,TRUE
573,Boeing 777-200,Solo Leisure,First Class,Tel Aviv to London,tel aviv,london,Nov-17,5,4,5,4,2,1,5,TRUE
575,A319,Solo Leisure,Economy Class,Madrid to London Heathrow,madrid,london,Nov-17,3,1,1,,2,,3,FALSE
579,Boeing 747,Business,Economy Class,Cape Town to London,cape town,london,Nov-17,1,1,1,1,3,,3,FALSE
545,Boeing 747-400,Couple Leisure,Economy Class,London to New York,london,new york,Nov-17,1,1,1,2,3,1,2,FALSE
563,Boeing 747-400,Couple Leisure,Business Class,London Heathrow to New York JFK,london,new york,Nov-17,4,5,5,5,4,4,4,TRUE
